Dataset,Metric,Value,Percentage
Orders,Status: delivered,96478.0,97.02%
Orders,Status: shipped,1107.0,1.11%
Orders,Status: canceled,625.0,0.63%
Orders,Status: unavailable,609.0,0.61%
Orders,Status: invoiced,314.0,0.32%
Orders,Status: processing,301.0,0.30%
Orders,Status: created,5.0,0.01%
Orders,Status: approved,2.0,0.00%
Order Items,order_item_id - Mean,1.1978339991122948,
Order Items,order_item_id - Median,1.0,
Order Items,order_item_id - Std Dev,0.7051240313951733,
Order Items,price - Mean,120.65373901464713,
Order Items,price - Median,74.99,
Order Items,price - Std Dev,183.6339280502594,
Order Items,freight_value - Mean,19.990319928983578,
Order Items,freight_value - Median,16.26,
Order Items,freight_value - Std Dev,15.806405412297082,
Payments,Payment Type: credit_card,76795.0,73.92%
Payments,Payment Type: boleto,19784.0,19.04%
Payments,Payment Type: voucher,5775.0,5.56%
Payments,Payment Type: debit_card,1529.0,1.47%
Payments,Payment Type: not_defined,3.0,0.00%
Reviews,Review Score: 1,11424.0,11.51%
Reviews,Review Score: 2,3151.0,3.18%
Reviews,Review Score: 3,8179.0,8.24%
Reviews,Review Score: 4,19142.0,19.29%
Reviews,Review Score: 5,57328.0,57.78%
