feature,importance,importance_pct
first_order_value,54.987759219585314,24.999999999999897
min_order_value,54.98775921958531,24.999999999999893
avg_order_value,54.98775921958531,24.999999999999893
max_order_value,54.98775921958531,24.999999999999893
recency,3.3210598716659107e-13,1.5099087136846885e-13
rfm_score,1.911529893050965e-13,8.690706441671641e-14
r_score,1.84697076602834e-13,8.397190539501407e-14
m_score,4.901984235146259e-14,2.228670664488666e-14
avg_items_per_order,3.094706958573432e-14,1.406998122170779e-14
first_order_items,3.094706958573432e-14,1.406998122170779e-14
total_unique_products,2.2863903431023568e-14,1.0394996884542943e-14
f_score,2.19841078169846e-14,9.995000764258412e-15
avg_unique_products_per_order,2.1087546591623318e-14,9.587382215109592e-15
total_items,1.6736214870532315e-14,7.609063866240985e-15
std_order_value,1.4210854715202004e-14,6.460917355466806e-15
tenure_days,1.0658141036401503e-14,4.8456880166001046e-15
frequency,0.0,0.0
days_between_orders,0.0,0.0
is_repeat_customer,0.0,0.0
