rfm_segment,customer_count,avg_recency,avg_frequency,avg_monetary,total_revenue,revenue_percentage
Loyal,32225,268.63,1.0,133.33,4296506.02,27.86
New Customers,15606,91.37,1.0,161.7,2523529.72,16.37
Champions,6366,92.32,1.0,294.67,1875855.53,12.17
Potential Loyalist,11542,134.76,1.0,161.99,1869667.98,12.13
Can't Lose,4409,423.14,1.0,299.01,1318344.01,8.55
Need Attention,6958,308.77,1.0,179.11,1246233.57,8.08
Promising,4541,222.98,1.0,214.07,972083.43,6.3
At Risk,4621,449.92,1.0,144.63,668320.74,4.33
Hibernating,7801,411.12,1.0,68.16,531681.19,3.45
Lost,2409,220.68,1.0,48.8,117551.56,0.76
